Argument ID,Conclusion,Stance,Premise
A01001,Entrapment should be legalized,in favor of,"if entrapment can serve to more easily capture wanted criminals, then why shouldn't it be legal?"
A01002,We should ban human cloning,in favor of,we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.
A01003,We should abandon marriage,against,"marriage is the ultimate commitment to someone, if people want it they should be allowrd"
A01004,We should ban naturopathy,against,it provides a useful income for some people
A01005,We should ban fast food,in favor of,fast food should be banned because it is really bad for your health and is costly.
A01006,We should end the use of economic sanctions,against,sometimes economic sanctions are the only thing that will get the corrupt governments to take action
A01007,We should abolish capital punishment,against,capital punishment is sometimes the only option to keep criminals from committing more crimes.
A01008,We should ban factory farming,against,"factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income."
A01009,We should fight for the abolition of nuclear weapons,against,nuclear weapons help keep the peace in uncertain times
A01010,We should prohibit school prayer,against,it should be allowed if the student wants to pray as long as it is not interfering with his classes
A01011,We should abolish the three-strikes laws,in favor of,three strike laws can cause young people to be put away for life without a chance to straight out their life
A01012,The use of public defenders should be mandatory,in favor of,the use of public defenders should be mandatory because some people don't have money for a lawyer and this would help those that don't
A01014,We should adopt an austerity regime,against,adopting austerity regime will have very negative impact on the poor and the vulnerable in society.
A01016,We should adopt gender-neutral language,against,"gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words."
A01017,We should end affirmative action,in favor of,affirmative action is no longer necessary as more minorities are able to prove to employers that they are worthy workers.
A01020,We should subsidize journalism,in favor of,"It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization."
A02001,Payday loans should be banned,in favor of,payday loans create a more impoverished society with their crazy payback rates.
A02002,Surrogacy should be banned,against,Surrogacy should not be banned as it is the woman's right to choose if she wishes to do this for another couple and be compensated.
A02003,We should cancel pride parades,against,there are parades for every group and it is discrimination not to give gays their parade
A02004,We should ban cosmetic surgery for minors,in favor of,children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.
A02005,We should legalize prostitution,in favor of,we should legalize prostitution because it will be regulated meaning the females will be safer
A02006,We should subsidize embryonic stem cell research,in favor of,embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.
A02007,We should ban algorithmic trading,in favor of,algorithms may not be 100% accurate and reflect the situation in the real market
A02008,We should legalize organ trade,in favor of,"We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times."
A02010,We should legalize cannabis,against,if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.
A02012,We should ban telemarketing,in favor of,telemarketing doesn't differentiate between people who are interested in being called and those who aren't
A02014,We should abolish the right to keep and bear arms,against,we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.
A02015,We should ban the Church of Scientology,in favor of,they are nothing but a cult and manipulate their members
A02017,We should legalize polygamy,against,polygamy  can lead to disharmony and jealousy within a household and the offspring of the arrangement can grow up very confused and maladjusted.
A02018,Intelligence tests bring more harm than good,against,intelligence tests should continue to be used because they provide valuable data
A02020,We should subsidize Wikipedia,against,wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized
A03001,We should introduce compulsory voting,in favor of,"where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy."
A03005,Social media brings more harm than good,in favor of,"it gives people a platform to pretend, show off and to bully others. it also makes people believe that everyone else has everything they want and that their lives are perfect, leading to mental health issues."
A03008,We should abolish zoos,in favor of,we should abolish zoos as animals should not be kept in captivity and should be in a natural environment.
A03010,We should adopt a multi-party system,in favor of,it would give people more of a choice  and provides someone for every culture to vote for
A03012,We should stop the development of autonomous cars,in favor of,autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers.
A03016,We should abolish the Olympic Games,against,Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision
A03020,We should close Guantanamo Bay detention camp,in favor of,Guantanamo Bay detention camp depraves detainees from their human right. Detainees are often molested and even electrocuted in there. This is  a inhumane treatment even for suspicious terrorists
A04002,We should subsidize space exploration,against,"there are more important things to spend public funds on such as health care, housing and education."
A04003,We should abandon the use of school uniform,in favor of,School uniforms keep children from being able to express themselves through their clothing choices.
A04009,We should abolish intellectual property rights,in favor of,ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished
A04012,Foster care brings more harm than good,in favor of,"the fact that almost half of those who have gone to foster homes have been returned eventually to their birthparents, it can be a painful experience for them"
A04014,We should ban whaling,in favor of,whaling is a barbaric practice that destroys majestic animals
A04015,We should end racial profiling,against,"racial profiling is a powerful tool based on crime statistics meant to keep people in the community safe, especially if it is a high crime area."
A04016,We should limit executive compensation,against,executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.
A04017,We should adopt a zero-tolerance policy in schools,against,zero telerance policied do not address underlying causes for the behaviour that is causing the issue
A05011,We should subsidize stay-at-home dads,against,"if a father wants to stay home, he can, but we can't subsidize stay-at-home dads, there is no need in a modern society that has other solutions like kindergartens to help with children's needs"
A05013,We should ban private military companies,in favor of,private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally.
A05014,We should adopt libertarianism,in favor of,libertarianism fosters a more equitable and efficient society for all
A05015,We should abolish safe spaces,in favor of,these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.
A05017,We should ban cosmetic surgery,in favor of,cosmetic surgery is unnecessary and dangerous.
A05020,Holocaust denial should be a criminal offence,against,what one chooses to believe or not to believe should be at their discretion.
A05024,We should fight urbanization,against,urbanization allows people to move away from high crime areas.
A05026,Blockade of the Gaza Strip should be ended,in favor of,blockade means occupation which is illegal and should be stopped
A05028,We should ban the use of child actors,in favor of,the world of show has proven to be full of vices that in the case of children is very harmful
A05029,The vow of celibacy should be abandoned,in favor of,there is a serious shortage of priests and this can be remedied by abandoning the vow of celibacy.
A05030,We should prohibit women in combat,against,women have proven that they could be as good as men in many fields; who's to say they couldn't also be good soldiers?
A05032,We should prohibit flag burning,in favor of,flag burning is a treasonous and traitorous act which should attract severe punishment.
A05036,We should end mandatory retirement,in favor of,the loss of experience and knowledge from mandatory retirement is costly to businesses
A05038,Assisted suicide should be a criminal offence,against,if someone is in extreme pain why make them suffer? this is not criminal
A05060,We should subsidize vocational education,in favor of,We should subsidize vocational education to encourage more trade schools to open.
A05061,We should abandon television,in favor of,television should be abandoned because it is an outdated concept that is increasingly being replaced by on demand news and entertainment services
A05068,We should ban targeted killing,against,targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people.
A05070,We should adopt atheism,in favor of,we should adopt atheism because it would be easier than being religious and having so many different beliefs
A05039,We should subsidize student loans,in favor of,student loans set children up to be valuable citizens and the state should support this
A05040,We should legalize sex selection,against,we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population
A05041,We should oppose collectivism,in favor of,collectivism prevents original thoughts and discourages people from looking for their own ideas
A05042,We should ban missionary work,in favor of,missionary work plays on the ignorance of local people to exploit them
A05044,We should limit judicial activism,in favor of,activists judges aren't the ones shaping the laws. they're not &quot;all&quot; the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments
A05046,Homeschooling should be banned,against,"homeschooling is a good option for children who are bullied, giving them a safe place to learn"
A05051,Homeopathy brings more harm than good,against,homeopathy is a natural way to cure a disease.
C26001,We should abolish the 996 overtime system,in favor of,"China's 996 overtime system is very inefficient in enhancing your ability to make money. If you rely on 996 to make money, you are essentially making money by working hard, selling your body."
C26006,We should give up developing electric vehicles,against,"The electric car is driven by an electric motor and has a direct maximum torque at start-up, which is faster than the fuel car power section."
C26014,We should ban the trading of virtual currencies.,in favor of,Virtual currency is a money laundering channel for criminals.
C26029,We should protect our privacy in the Internet age.,in favor of,"In the era of IoT sharing economy, because of linking people and people, people and things, and things and things, the probability of the system being exploited and hacked is also increased."
C26039,We should restrict minors from playing online games.,in favor of,"Many teenagers in China use electronic devices to play games as the only entertainment after study. At the same time, the same kind of people in Europe and the United States choose more diverse ways."
C26048,We should open up three-child policy to encourage childbirth.,against,"To solve the fertility problem in the long term, we need to start at the source: for example, giving young people less pressure to work, regulating and stabilizing housing prices and so on."
C26056,We should prohibit capital monopoly.,in favor of,Capital monopoly hinders the efficient allocation of resources and causes waste of resources.
C26065,We should prevent the disorderly expansion of capital.,in favor of,"Capital combined with Internet technology, using asymmetric advantages such uncontrolled expansion, snatching the rice bowls of small businessmen and vendors, has constituted a violation of the basic ethics of society."
C26069,We should crack down on unreasonably high incomes.,in favor of,"Strengthen the regulation and adjustment of high income, protect legitimate income according to law, reasonably adjust excessive income, and encourage high-income people and enterprises to give more back to society."
C26078,We should ease the education involution.,in favor of,A society's value of education should not remain &quot;score-only&quot; and &quot;testing-only&quot;.
C26084,We should vigorously develop the countryside.,in favor of,"The gap between rural and urban areas is getting bigger and bigger, and the result is that the countryside is deserted, a lot of land is barren, and China's arable land is decreasing."
C26091,Carbon emissions trading should be limited.,against,"Since China's reform and opening up, its economy has developed rapidly, and Western countries have taken advantage of the warming climate to limit the issue of carbon emission rights in order to delay China's development."
D27001,Human Gene editing is a good thing,in favor of,"DNA has got nothing to do with spirituality. It is made up of nitrogen, oxygen, carbon, and hydrogen - the very same elements that make up the majority atmosphere. It is just as godlike as is the air around us."
D27004,We can rely on Cryptocurrencies like Bitcoins,against,"If value of standard currency falls, we can still afford to live in our country, because the fall of currency value impacts all fields. For example, if the prices of groceries rise, so does our salaries. But if the value of cryptocurrencies like bitcoin falls, we will loose our hard earned money."
D27006,It is right to ban Cattle Slaughter ,in favor of,Cow is a sacred animal for Hindus. Killing cows hurts their sentiments.
D27008,Hindi should be the National language of India,in favor of,"Hindi is spoken by more than half of India. As no single language is spoken by entire India, it is much better to make the majoritarian language as the national language."
D27011,India is becoming intolerant,against,"Many religions and different cultures are co-existing peacefully in India, which is quite surprising to the rest of the world. India is the best example for religious co-existence. If there is intolerance, this wouldn't be possible."
D27013,The Sabarimala verdict is progressive and not a threat to traditions,in favor of,Why everything is seen in a sexual nature? Brahmacharya doesn't mean women cannot worship god. Brahmacharya means observing celibacy. It doesn't mean that there shouldn't be female devotees of reproductive age. Narrow-minded people do not understand the difference between devotion and sexual attraction.
D27016,News channels are breaking rules to give Breaking news,in favor of,"If anyone accuses any celebrity, the news will be breaking news for days on news channels. This is an infringement of personal rights. News channels are ignoring the basic thing that the allegations are not proved yet."
D27018,MBAs do not make good business leaders,against,"The curriculum and the educational procedure in any MBA institutes lack hands-on practice over live projects in order to train them and give them a chance to work on their leadership skills. Instead of focussing on the technical aspects of business marketing, development of leadership along with interpersonal skills is extremely important."
D27021,Women are better managers than men,in favor of,"They are good time managers. As most of the women today manage work and home, they can prioritize their time well."
D27023,Beauty pageants should be banned,in favor of,Such competitions and beauty pageant have a very wrong influence on society as we all quickly follow the media trends. All this is basically sending the wrong message to our younger generation girls where they are made to understand that being perfect and pretty is extremely necessary. This affects their self-esteem and may even cause depression.
D27026,Driverless cars should be allowed in India,in favor of,"The majority of driverless cars are going to be Electric Vehicles (EV's) which will help in decreasing the pollution level in the country, which is also one of the major issues the country is facing."
D27029,US-Mexico border wall is a good thing,against,"US treaties with Mexico won't let them build anything on the Rio Grande River and the areas around it. Furthermore, most of the areas along the border in Texas are privately owned which leaves a large part of the border uncovered. So, building the wall is not going to bring any change."
D27032,India should accept Rohingya refugees,in favor of,"India has always been kind to refugees. Hence, the same spirit should be continued in the case of Rohingya community."
D27034,Marital Rape should be criminalized in India,against,Article 15 of Indian constitution prohibits discrimination on the basis of gender. But the proposed law on marital rape in the petitions recognizes only female victims. Hence it is discriminatory to male victims.
D27037,Men are silent sufferers in this modern world,in favor of,"These days, every man is considered as a potential rapist. If a woman makes a false molestation complaint against a man out of revenge or any other motive, society is more likely to believe the woman's words. Society and media exposes the accused before the investigation. This kind of attitude of society helps victims in genuine cases. But the scope of false cases is ignored. However the same is not true with the complaints against women. If the complaint is against a woman, people doubt about the genuinity of the case. What if the sexual harassment case against the man is a false case? Some people think like men can take anything. False molestation cases will result in the irreversible loss of reputation and causes mental agony to the accused and his family."
D27039,WikiLeaks is not a bane,in favor of,"WikiLeaks has won a number of awards, including The Economist's New Media Award in 2008 and Amnesty International's UK Media Award in 2009."
D27042,&quot;Bullet for Bullet&quot; is a right policy,against,"As per Gandhiji's words &quot;An Eye for an Eye leaves the whole world Blind&quot;, bullet for bullet is not a right policy."
D27044,Betting and gambling should be legalized in India,against,There is no guarantee that illegal gambling activities will stop.
D27046,We should ban alcohol in India,in favor of,"Alcohol addiction is not just a threat to the person that drinks, but also to his/her entire family."
D27048,Technology is rising Unemployment rates,in favor of,"Several kinds of jobs are increasingly getting replaced by technology. As per the reports, there is a significant drop in the typists, weavers, construction workers etc."
D27050,Chinese products should be banned in India,in favor of,"India has a huge trade deficit with China. For the year 2017-18, India's imports from China are worth $76.2 billion dollars, whereas India's exports to China are worth $33 billion dollars. So, there is a need to reduce this trade deficit. "
D27053,Donald Trump's Presidency was a good thing,against,"Trump has been prioritizing some noticeable issues like the Muslim immigration clampdown, challenging the independence of the Fed, bizarre and ill-qualified cabinet selections, antagonizing China and other trading partners for no reason or embracing Russia and its rogue regime. This is not acceptable beyond limits and can turn people and communities against him."
D27055,Homeschooling should be encouraged in India ,in favor of,Every child is different. Homeschooling allows to design the curriculum based on the student's capabilities and interests.
D27057,Uniforms should be mandatory in schools,in favor of,"If the children are used to uniforms, they will no issues in the future if their profession demands uniform."
D27059,Stray animals should be killed,in favor of,Stray dogs are often carriers of diseases because of the lack of care.
D27061,Temples in India can have Gender-Specific rules,against,Though religions can have personal laws. Religious institutions do not have right to ban women from entering into worship places.
D27064,Experimenting on Animals is fair,against,"We have no right to suffer animals, even though there are benefits for us."
D27066,Rapists should be tortured,in favor of,"Criminal will feel the pain of the victim, if he is subjected to the same kind of harassment. Thereby, he may not commit the crime again in his life."
D27069,The Internet should be censored,in favor of,Internet censorship helps in maintaining Cybersecurity.
D27071,We should ban kids' reality shows,against,Reality shows give opportunity for children to bring out their hidden talents and to finess their skills.
D27074,Censorship of movies is an outdated concept,in favor of,"Through censorship, money power will rule society. It's a fact that rich people influence politics."
D27077,Military training should be made compulsory for all in India,in favor of,Compulsory military training can also make people stronger physically &amp; emotionally.
D27080,Aadhaar should be made mandatory in India,in favor of,Reduction of complexity in filling ITR's:
D27082,Adultery should be criminalized,in favor of,Fear of law can deter people from committing adultery.
D27085,Women can be in combat roles,against,"Biologically, men are stronger than women. Hence, it may not be wise to deploy people in the field that have less physical strength than the enemy."
D27087,Organ donation should be made compulsory,in favor of,Many people are being kidnapped for organs. Illegal human organ trafficking is in almost every country. Some poor people are selling organs. All these things are consequences of organs shortage.
D27090,Reservations in India should be based on economic status,in favor of,"Caste divisions are hatred among communities is increasing due to reservations. Many communities in several states of India are fighting to give them reservations. And the consequence is people are increasingly associating with their caste. The interesting fact is that before the first caste census by British government (1881) in India, many people do not even know what their caste is. From then, the idea of caste is deeply ingrained in the Indian society. Now the reservations are making the situation even worse."
D27092,There should be a ban on Bandhs,in favor of,Industries are also one of the worst hits. Investors may lose interest to invest in manufacturing sector as bandh by anyone results in the loss to them.
D27095,Nepotism exists in Bollywood,in favor of,"The standards of Indian cinemas fall at times because of nepotism. Producers and directors are pushing star kids to launch in their movies, failing to judge their acting skills and screen presence. This leads to flop movies and a loss of quality and standards of the Indian cinemas."
D27098,India is safe for women,in favor of,"Evil historic practices on women in the pre and post medieval period have been into oblivion. Practices like child marriages, polygamy, ban on remarriages, honor killings, Sati, Jauhar and Purdah are obsolete in today's world. With time, more such practices are being redundant and thus, increasing safety measures."
